Dimension: array length (n),Time (clock)
867,56.310000
868,56.530000
869,56.490000
870,56.600000
871,56.550000
872,56.480000
873,57.500000
874,56.630000
875,56.770000
876,56.830000
877,56.730000
878,57.000000
879,57.010000
880,56.970000
881,57.100000
882,57.200000
883,57.150000
884,57.390000
885,57.420000
886,57.630000
887,57.590000
888,57.620000
889,57.720000
890,57.580000
891,57.380000
892,56.410000
893,56.450000
894,56.540000
895,57.060000
896,57.190000
897,56.900000
898,56.820000
899,57.360000
900,56.990000
901,57.100000
902,57.160000
903,57.230000
904,57.440000
905,58.420000
906,58.940000
907,59.110000
908,59.070000
909,59.130000
910,59.290000
911,59.340000
912,59.490000
913,59.530000
914,59.590000
915,59.510000
916,59.660000
917,59.800000
918,59.690000
919,59.810000
920,60.000000
921,59.930000
922,60.060000
923,60.120000
924,60.180000
925,60.290000
926,60.410000
927,60.370000
928,60.060000
929,59.480000
930,59.060000
931,59.270000
932,59.350000
933,59.320000
934,60.220000
935,59.460000
936,59.500000
937,59.760000
938,59.610000
939,60.100000
940,59.730000
941,61.020000
942,61.280000
943,61.300000
944,61.270000
945,61.450000
946,61.480000
947,61.440000
948,61.580000
949,61.700000
950,61.760000
951,61.750000
952,61.690000
953,61.810000
954,61.670000
955,61.950000
956,61.880000
957,61.970000
958,61.970000
959,62.130000
960,62.400000
961,62.210000
962,62.420000
963,62.460000
964,62.670000
965,62.560000
966,61.530000
967,61.350000
968,61.570000
969,61.440000
970,62.650000
971,61.640000
972,61.840000
973,62.040000
974,61.950000
975,61.910000
976,63.090000
977,62.560000
978,63.650000
979,64.050000
980,63.990000
981,64.130000
982,64.190000
983,64.410000
984,64.470000
985,64.470000
986,64.420000
987,64.640000
988,64.820000
989,64.730000
990,64.900000
991,64.920000
992,65.020000
993,65.030000
994,65.050000
995,65.150000
996,65.180000
997,65.360000
998,65.440000
999,64.290000
1000,64.250000
1001,64.430000
1002,64.130000
1003,64.760000
1004,64.160000
1005,64.210000
1006,64.520000
1007,64.150000
1008,64.190000
1009,64.380000
1010,64.600000
1011,66.140000
1012,66.040000
1013,65.960000
1014,66.210000
1015,66.100000
1016,66.110000
1017,66.210000
1018,66.190000
1019,66.330000
1020,66.370000
1021,66.350000
1022,66.530000
1023,66.450000
1024,66.400000
1025,66.870000
1026,66.940000
1027,67.070000
1028,67.220000
