Dimension (n),Insertion Sort,Merge Sort,Hybrid Sort,Quick Sort,Median of Three Quick Sort,Tail Recursive Quick Sort,Heap Sort
182,3.910000,10.530000,9.470000,6.240000,6.090000,6.290000,8.650000
183,4.360000,10.260000,9.610000,6.610000,6.060000,7.030000,8.590000
184,3.970000,10.990000,9.600000,6.260000,6.070000,6.350000,9.820000
185,4.040000,10.900000,9.800000,6.210000,6.050000,6.560000,8.820000
186,4.050000,10.680000,10.060000,6.330000,6.060000,6.360000,9.660000
187,4.170000,11.540000,12.800000,6.710000,6.360000,6.430000,9.420000
188,4.190000,10.790000,10.100000,7.890000,6.040000,6.380000,9.340000
189,4.540000,10.850000,10.140000,6.540000,6.220000,7.960000,8.880000
190,4.670000,11.220000,10.250000,6.430000,6.460000,6.530000,10.490000
191,4.240000,11.250000,10.360000,6.670000,6.330000,6.560000,9.140000
192,4.370000,11.590000,10.670000,6.600000,6.290000,6.750000,9.140000
193,4.220000,11.600000,12.070000,6.600000,6.360000,6.640000,9.040000
194,5.310000,11.670000,10.960000,6.730000,6.390000,6.770000,11.370000
195,4.920000,11.130000,11.140000,6.940000,6.670000,6.700000,9.410000
196,5.180000,11.190000,11.080000,6.690000,6.850000,6.730000,9.580000
197,4.950000,11.640000,10.980000,6.840000,6.540000,6.740000,9.830000
198,4.530000,12.530000,11.350000,6.830000,6.530000,6.880000,9.410000
199,4.540000,12.390000,11.260000,6.830000,6.510000,6.910000,9.450000
200,4.560000,12.160000,11.810000,7.150000,6.630000,6.950000,9.770000
201,4.570000,12.010000,7.530000,7.030000,6.670000,6.960000,9.570000
202,5.070000,12.260000,7.280000,7.020000,7.510000,7.060000,9.570000
203,5.660000,11.760000,7.260000,7.020000,7.110000,7.050000,9.720000
204,4.980000,12.470000,7.410000,7.040000,7.020000,7.040000,9.710000
205,5.520000,13.250000,7.450000,7.010000,6.860000,7.310000,9.790000
206,4.780000,13.950000,7.490000,7.170000,6.860000,7.180000,9.910000
207,4.820000,13.580000,8.150000,7.170000,6.910000,7.240000,9.900000
208,4.860000,13.180000,7.940000,7.430000,6.910000,7.270000,9.920000
209,4.940000,12.810000,8.310000,7.320000,7.160000,7.350000,9.990000
210,4.940000,13.150000,7.750000,7.660000,7.070000,7.900000,11.340000
211,4.980000,13.900000,7.830000,7.270000,7.050000,7.730000,10.430000
212,5.030000,12.580000,7.880000,7.400000,7.060000,7.440000,10.160000
213,5.520000,12.690000,7.970000,7.420000,7.080000,7.630000,10.200000
214,5.130000,13.270000,8.030000,7.440000,7.540000,7.480000,10.310000
215,5.130000,12.610000,8.500000,7.530000,7.250000,7.770000,10.360000
216,5.190000,13.000000,8.190000,7.780000,7.230000,7.710000,10.430000
217,5.220000,12.720000,8.240000,7.570000,7.560000,7.820000,10.460000
218,5.230000,12.880000,8.290000,7.650000,7.290000,8.390000,10.480000
219,5.240000,12.890000,8.320000,7.620000,7.340000,7.630000,10.960000
220,5.330000,13.130000,8.460000,7.690000,7.560000,7.700000,10.550000
221,5.460000,13.280000,8.520000,7.750000,7.500000,7.770000,10.660000
222,5.590000,13.390000,8.590000,7.730000,7.450000,7.780000,10.690000
223,5.470000,13.470000,8.590000,7.870000,7.460000,7.820000,10.720000
224,5.580000,13.100000,9.110000,8.040000,7.580000,7.880000,10.840000
225,5.560000,13.140000,9.190000,7.820000,7.590000,7.940000,10.920000
226,5.650000,13.270000,8.820000,8.400000,7.620000,8.660000,11.300000
227,5.570000,13.230000,8.930000,7.960000,7.850000,8.240000,11.090000
228,5.760000,15.180000,8.930000,8.090000,7.940000,8.020000,11.790000
229,5.840000,13.520000,9.040000,8.110000,8.280000,8.660000,11.160000
230,5.920000,13.320000,9.020000,8.500000,7.830000,8.200000,11.520000
231,5.780000,13.540000,9.290000,8.150000,7.800000,9.240000,11.170000
232,5.840000,13.350000,9.410000,8.570000,7.820000,9.070000,11.390000
233,5.880000,14.430000,9.530000,10.710000,8.820000,9.170000,12.010000
234,6.280000,13.470000,9.300000,8.280000,8.990000,8.790000,11.330000
235,5.930000,13.610000,9.440000,8.490000,8.530000,8.400000,11.810000
236,6.020000,13.810000,9.550000,8.270000,8.030000,8.610000,11.460000
237,6.110000,14.110000,9.520000,8.350000,8.810000,8.390000,11.570000
238,6.470000,13.760000,9.660000,8.820000,8.070000,8.550000,11.620000
239,6.110000,13.810000,9.740000,8.410000,8.080000,9.290000,11.650000
240,6.220000,14.520000,9.730000,8.480000,8.560000,8.500000,11.810000
241,6.130000,13.850000,9.780000,8.480000,8.770000,8.550000,11.830000
242,6.270000,13.980000,9.910
